id,intent,text
83,ask_industry_solutions,Do you work with retail or ecommerce industries?
84,ask_industry_solutions,Do you offer FinTech AI solutions?
85,ask_industry_solutions,Do you build apps for logistics companies?
86,ask_industry_solutions,Show me all industry-specific services.
87,ask_industry_solutions,Do you have solutions for healthcare?
88,ask_industry_solutions,Do you have experience in building apps for real estate?
89,ask_industry_solutions,Do you offer solutions for financial services companies?
90,ask_industry_solutions,I work in logistics; do you have anything for that domain?
91,ask_industry_solutions,What can you do for ecommerce businesses specifically?
92,ask_industry_solutions,Do you build solutions for hospitals or healthcare startups?
93,ask_industry_solutions,Are there any services tailored to education or e-learning?
94,ask_industry_solutions,What type of solutions do you offer for the travel industry?
95,ask_industry_solutions,Can you tell me your offerings by industry vertical?
96,ask_industry_solutions,Do you serve the healthcare industry?
97,ask_industry_solutions,Show me the industries where you have AI solutions.
98,ask_industry_solutions,I want to know which sectors your solutions are designed for.
99,ask_industry_solutions,Can you help a logistics company?
100,ask_industry_solutions,Do you have solutions for fintech?
101,ask_industry_solutions,Do you work with fintech companies?
102,ask_industry_solutions,Do you have solutions for the travel sector?
103,ask_industry_solutions,What solutions do you offer in education?
104,ask_industry_solutions,What industries do you work with?
105,ask_industry_solutions,Which industries do you serve?
106,ask_industry_solutions,Can you help ecommerce companies?
107,ask_industry_solutions,Do you work with retail businesses?
108,ask_pricing_models,What pricing strategies do you use?
109,ask_pricing_models,What are the different ways you charge for projects?
110,ask_pricing_models,Do you support both fixed price and flexible pricing?
111,ask_pricing_models,Can you explain your fixed price and monthly pricing options?
112,ask_pricing_models,How does your resource hiring model work?
113,ask_pricing_models,What billing models are available if I work with your team?
114,ask_pricing_models,Do you provide a dedicated developer pricing option?
115,ask_pricing_models,How is fixed price different from resource pricing with you?
116,ask_pricing_models,Can you describe your pricing structure in simple terms?
117,ask_pricing_models,What kind of payment models can I choose from?
118,ask_pricing_models,Do you offer flexible pricing depending on project scope?
119,ask_pricing_models,Explain your billing model.
120,ask_pricing_models,What pricing options do you have?
121,ask_pricing_models,How does your pricing structure operate?
122,ask_pricing_models,Tell me the difference between monthly and fixed price.
123,ask_pricing_models,How do you charge clients for projects?
124,ask_pricing_models,What is resource-based pricing?
125,ask_pricing_models,Explain your monthly pricing model.
126,ask_pricing_models,How do your pricing models work?
127,ask_pricing_models,Do you offer fixed price projects?
128,ask_cost_estimate,How do you usually estimate the cost for a new project?
129,ask_cost_estimate,I want a rough ballpark budget for my project.
130,ask_cost_estimate,How do I find out the price for my app idea?
131,ask_cost_estimate,What would be the estimated cost for an AI-based solution?
132,ask_cost_estimate,I need a price estimate before starting; can you help?
133,ask_cost_estimate,Can you give me an idea of how much this would cost?
134,ask_cost_estimate,Can you guide me on the expected budget range?
135,ask_cost_estimate,What should I expect in terms of pricing for a medium-sized app?
136,ask_cost_estimate,How much will my project cost?
137,ask_cost_estimate,Can you estimate the price for my idea?
138,ask_cost_estimate,What is the approximate cost for app development?
139,ask_cost_estimate,How do I know the cost for my AI application?
140,ask_cost_estimate,Can you tell me the budget for my project?
141,ask_cost_estimate,Is there a way to calculate the cost of my app online?
142,ask_cost_estimate,Give me a rough cost estimate.
143,ask_cost_estimate,How much do you charge for a mobile app?
144,ask_cost_estimate,What is the typical cost range?
145,ask_cost_estimate,How can I calculate my project cost?
146,ask_cost_estimate,About how much do you charge for building a mobile application?
147,ask_cost_estimate,How expensive is AI development?
148,ask_recommendation,What service fits my real estate business?
149,ask_recommendation,"Based on my domain, which service category should I go for?"
150,ask_recommendation,Help me pick the right service for education
151,ask_recommendation,I need a service for my ecommerce startup
152,ask_recommendation,Recommend a service for my travel business
153,ask_recommendation,What would you suggest for a small startup?
154,ask_recommendation,What service should I pick for retail?
155,ask_recommendation,Suggest something for my fintech app
156,ask_recommendation,Which service suits a logistics company?
157,ask_recommendation,What do you recommend for a healthcare startup?
158,ask_recommendation,Suggest a service for my ecommerce business
159,ask_recommendation,Which service option is ideal for a proof-of-concept project?
160,ask_recommendation,Which service is best for my industry?
161,ask_recommendation,"I want to use AI but I'm confused which service fits, can you help?"
162,ask_recommendation,Help me choose the right service.
163,ask_recommendation,What would you recommend for a startup with a limited budget?
164,ask_recommendation,I have an idea but I'm not sure which service fits.
165,ask_recommendation,Suggest a suitable service based on my requirements.
166,ask_recommendation,What should I choose for an AI-based solution?
167,ask_recommendation,Can you recommend a service for my project?
168,ask_recommendation,Which service is best for a startup like mine?
169,ask_recommendation,I want an app for ecommerce; what should I select?
170,ask_recommendation,What service do I need for healthcare AI?
171,ask_recommendation,Recommend the right service category for me.
172,ask_recommendation,Suggest the right service based on my domain
173,ask_recommendation,Can you suggest the right service for a logistics company like mine?
174,ask_recommendation,I have a business idea; which of your services should I choose?
175,ask_recommendation,"I am not sure if I need AI or just app development, can you guide me?"
176,ask_recommendation,I don't know what service I need.
177,ask_recommendation,What should I choose for my business idea?
178,ask_recommendation,I need both mobile and AI features; what do you suggest?
179,ask_recommendation,Which service is suitable if I want analytics and reports?
180,ask_recommendation,Can you help me decide between AI Development and normal app development?
181,ask_contact_info,How do I get in touch with your team?
182,ask_contact_info,Where can I find your contact information?
183,ask_contact_info,Is there an email address to reach you?
184,ask_contact_info,Do you have a contact form or support email?
185,ask_contact_info,How can I contact your sales or consulting team?
186,ask_contact_info,What is the best way to contact Prismetric?
187,ask_contact_info,Give me the company email.
188,ask_contact_info,How do I reach your support team?
189,ask_contact_info,I want to talk to your experts.
190,ask_contact_info,Provide your contact details.
191,ask_contact_info,Please share your official contact details.
192,ask_contact_info,Is there a way to schedule a call with you?
193,ask_contact_info,How do I reach out for a project discussion?
194,ask_contact_info,How can I contact you?
195,ask_contact_info,"I want to connect with you, what is your contact option?"
